time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
10425,35.723775028,19.8461901793,-27.8019953323,-29.3868681336,-30.542325517,0.794761646729,0.801674384882,-3.99580240015e-05,173,0.579000957066,1.54759375381e-05,88157.1995904,121242.80041,98.6370715179,9.4116,9.6348,19.0464,186.747931688,186.886734947,186.978313527,187.054002678,4,4.17371747425,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000928556252289,115.768655955,-1.89364227839
10430,35.721461643,19.8423094426,-27.8027890357,-29.3875589338,-30.5429411882,0.794567150521,0.80147467019,-3.99278593591e-05,173,0.579078318679,1.54687087021e-05,88141.0000687,121258.999931,98.6431202289,9.4116,9.6348,19.0464,186.735832653,186.874600692,186.966156009,187.041825926,4,4.17364954793,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000928122522128,115.707086829,-1.89364228025
10435,35.7191472664,19.8384296786,-27.8035825378,-29.3882495585,-30.5435567029,0.794372798196,0.801275106222,-3.98977342541e-05,173,0.579155644165,1.54614870201e-05,88124.8081118,121275.191888,98.649158794,9.4116,9.6348,19.0464,186.723736641,186.862469493,186.954001568,187.029652267,4,4.17358163554,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000927689221208,115.645575005,-1.89364227839
10440,35.716831899,19.8345508863,-27.8043758388,-29.388940008,-30.5441720614,0.794178589571,0.801075692781,-3.98676486152e-05,173,0.579232933561,1.5454272482e-05,88108.6237124,121291.376288,98.655187222,9.4116,9.6348,19.0464,186.711643649,186.850341345,186.9418502,187.017481699,4,4.17351373709,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000927256348922,115.584120405,-1.89364227839
10445,35.7145155415,19.830673065,-27.8051689388,-29.3896302824,-30.5447872638,0.79398452446,0.80087642967,-3.98376023708e-05,173,0.579310186902,1.54470650777e-05,88092.4468628,121307.553137,98.6612055218,9.4116,9.6348,19.0464,186.699553675,186.838216247,186.929701902,187.005314219,4,4.17344585254,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000926823904665,115.522722949,-1.89364227746
10450,35.7121981949,19.8267962137,-27.805961838,-29.3903203819,-30.5454023102,0.793790602679,0.800677316692,-3.98075954496e-05,173,0.579387404224,1.54398647972e-05,88076.2775556,121323.722444,98.6672137022,9.4116,9.6348,19.0464,186.687466715,186.826094196,186.917556672,186.993149824,4,4.1733779819,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000926391887832,115.461382558,-1.89364227746
10455,35.7098798598,19.8229203315,-27.8067545366,-29.3910103066,-30.5460172008,0.793596824044,0.80047835365,-3.97776277806e-05,173,0.579464585562,1.54326716303e-05,88060.1157834,121339.884217,98.6732117721,9.4116,9.6348,19.0464,186.675382768,186.813975188,186.905414507,186.980988511,4,4.17331012515,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.00092596029782,115.400099156,-1.89364227792
10460,35.7075605371,19.8190454177,-27.8075470348,-29.3917000566,-30.5466319356,0.793403188371,0.800279540349,-3.97476992928e-05,173,0.579541730952,1.54254855671e-05,88043.9615387,121356.038461,98.6791997402,9.4116,9.6348,19.0464,186.663301831,186.801859222,186.893275405,186.968830277,4,4.17324228227,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000925529134027,115.338872662,-1.89364227746
10465,35.7052402275,19.8151714712,-27.8083393327,-29.3923896322,-30.5472465149,0.793209695477,0.800080876592,-3.97178099154e-05,173,0.579618840429,1.54183065975e-05,88027.8148141,121372.185186,98.6851776155,9.4116,9.6348,19.0464,186.6512239,186.789746294,186.881139361,186.956675121,4,4.17317445325,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.00092509839585,115.277702998,-1.89364227792
10470,35.7029189318,19.8112984914,-27.8091314306,-29.3930790335,-30.5478609388,0.793016345178,0.799882362185,-3.96879595778e-05,173,0.579695914029,1.54111347115e-05,88011.6756022,121388.324398,98.6911454066,9.4116,9.6348,19.0464,186.639148974,186.777636402,186.869006375,186.944523038,4,4.17310663807,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000924668082692,115.216590087,-1.89364227839
