case_id,parameter,scenario,parameter_value,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
wind_speed_minus10,wind_speed,minus10,2.7,660,37.2731123628,32.4688784561,-24.5621255852,-26.4746020403,-27.8769227821,3.89957475412,4.99291166974,-0.00631986656428,173,0.175359105973,0.000151343169374,172679.803209,36720.1967908,53.2633703965,9.4116,9.6348,19.0464,223.522090767,225.517454825,226.92621215,228.125161083,4,4.44099388228,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00908059016242,1181.23188248,-0.296976204321
wind_speed_minus10,wind_speed,minus10,2.7,690,37.2790451408,32.3668718563,-24.6241596263,-26.5322637233,-27.9298027005,3.78023269932,4.80886997972,-0.00594588023352,173,0.179916758165,0.000152268887813,171725.43084,37674.5691598,53.4086640169,9.4116,9.6348,19.0464,223.365425983,225.001870403,226.152417907,227.130096901,4,4.43614312322,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00913613326876,1188.64627264,-0.296975999372
wind_speed_minus10,wind_speed,minus10,2.7,720,37.2849755859,32.2706623412,-24.6753954391,-26.5796786434,-27.9732141901,3.67417888049,4.63626253599,-0.0055611771994,173,0.184483204646,0.000151988040994,170769.216947,38630.7830528,53.5126172119,9.4116,9.6348,19.0464,223.189160177,224.551314263,225.50457516,226.31320422,4,4.43214899085,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00911928245966,1186.6426613,-0.296975781966
wind_speed_minus10,wind_speed,minus10,2.7,750,37.2909123608,32.1789804517,-24.7183763497,-26.619261949,-28.0093895215,3.57850895948,4.475133783,-0.00518280244808,173,0.189027098287,0.000150810713271,169817.725619,39582.2743813,53.5964620692,9.4116,9.6348,19.0464,222.998286023,224.150671823,224.953090294,225.632477441,4,4.42881236313,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00904864279626,1177.63818779,-0.296975559555
wind_speed_minus10,wind_speed,minus10,2.7,780,37.2968589199,32.0908526929,-24.7550415645,-26.6528549965,-28.0400305792,3.49112932443,4.32512909381,-0.0048208079155,173,0.193525314945,0.000148978417582,168875.79905,40524.2009496,53.6745756599,9.4116,9.6348,19.0464,222.796588444,223.788404696,224.475393686,225.055891472,4,4.42598027773,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00893870505492,1163.51581855,-0.2969753379
wind_speed_minus10,wind_speed,minus10,2.7,810,37.3028151637,32.0055372265,-24.7868697292,-26.6818618143,-28.0664350405,3.4105093954,4.18566574778,-0.00448067255711,173,0.197961160875,0.000146680513984,167946.932913,41453.0670872,53.7564018024,9.4116,9.6348,19.0464,222.586955216,223.455714079,224.054275391,224.559027361,4,4.42353540311,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00880083083906,1145.75222361,-0.296975121484
wind_speed_minus10,wind_speed,minus10,2.7,840,37.3087786401,31.9224726927,-24.8149881278,-26.707352865,-28.0895923038,3.33551526572,4.05604441195,-0.00416490835976,173,0.20232298262,0.00014406519628,167033.567439,42366.4325607,53.8478682111,9.4116,9.6348,19.0464,222.371604369,223.145899645,223.67661748,224.123267173,4,4.42138785538,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.0086439117768,1125.50333082,-0.296974912344
wind_speed_minus10,wind_speed,minus10,2.7,870,37.314745409,31.8412373818,-24.8402558563,-26.7301440443,-28.1102565126,3.26529544486,3.93552094869,-0.00387413586031,173,0.206603058079,0.000141247531865,166137.319638,43262.6803618,53.9524280845,9.4116,9.6348,19.0464,222.152250155,222.853867253,223.332427063,223.734419863,4,4.41946886177,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00847485191189,1103.66692573,-0.296974709898
wind_speed_minus10,wind_speed,minus10,2.7,900,37.3207106584,31.7615167668,-24.863327258,-26.7508569075,-28.1290022174,3.19920112741,3.82335160902,-0.00360780625209,173,0.210796700771,0.00013831577318,165259.170859,44140.8291414,54.071821383,9.4116,9.6348,19.0464,221.93022442,222.575750585,223.014097733,223.381673868,4,4.41772586611,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.0082989463908,1080.9317938,-0.296974516299
wind_speed_minus10,wind_speed,minus10,2.7,930,37.326669136,31.6830778553,-24.8847003579,-26.7699646382,-28.1462668553,3.13672995051,3.7188203769,-0.00336468454561,173,0.214901535374,0.000135336530282,164399.618493,45000.3815074,54.2066270829,9.4116,9.6348,19.0464,221.706565908,222.308620327,222.715844957,223.056797748,4,4.41611875459,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00812019181693,1057.81799932,-0.296974330617
