outer_layer_count,outer_thickness_mm,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_outer_surface_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,alpha_skin,q_outer_air_W_m2,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,garment_mass_kg,added_garment_mass_kg,maximum_external_load_kg,external_load_margin_kg,T_outer_1_C,energy_balance_residual_J,T_outer_2_C,T_outer_3_C,T_outer_4_C
1,0.3,7290.0,36.97253754177872,27.229522050817284,-14.379934805875351,-15.42397489412271,-16.185574262950826,1.4875193673357854,1.5068987771592377,0.3979261068856109,123.36051292914078,5.257593264696087,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.185574262950826,-0.1285571635235101,,,
1,0.3,7320.0,36.96747102331224,27.21118615834655,-14.386173852457242,-15.429906917969221,-16.191280487807855,1.4843063159393974,1.50354997881599,0.3984970506114893,123.32367462536621,5.2572782906357185,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.191280487807855,-0.12855716398917139,,,
1,0.3,7350.0,36.962377992124445,27.192896066709626,-14.392396994517233,-15.435823814102092,-16.19697216561632,1.4811150890837386,1.5002245832036,0.3990658186464737,123.28693239450709,5.2569640631420835,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.19697216561632,-0.12855716631747782,,,
1,0.3,7380.0,36.95725855215512,27.174651460897994,-14.39860434388746,-15.441725688987374,-16.202649398786907,1.4779454402608134,1.4969223188217564,0.3996324280490121,123.2502855593662,5.25665057696821,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.202649398786907,-0.12855716655030847,,,
1,0.3,7410.0,36.95211280708362,27.156452028937682,-14.404796011292424,-15.447612648035534,-16.208312288714648,1.4747971267531015,1.4936429184605513,0.4001968956872961,123.21373344949276,5.256337826918423,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.208312288714648,-0.12855716631747782,,,
1,0.3,7440.0,36.94694086032795,27.138297461849227,-14.410972106364097,-15.453484795615863,-16.21396093579279,1.471669909560003,1.490386119114841,0.4007592382420656,123.17727540109023,5.256025807847652,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.21396093579279,-0.12855716911144555,,,
1,0.3,7470.0,36.94174281504366,27.12018745360831,-14.417132737656798,-15.459342235070686,-16.219595439426435,1.4685635533260022,1.487151661900672,0.40131947220936137,123.14091075692559,5.255714514660747,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.219595439426435,-0.1285571693442762,,,
1,0.3,7500.0,36.936518774122916,27.10212170110706,-14.423278012661786,-15.465185068729271,-16.225215898045956,1.4654778262705075,1.4839392919737118,0.40187761390322574,123.10463886623988,5.2554039423118,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.225215898045956,-0.12855717004276812,,,
1,0.3,7530.0,36.9312688401936,27.084099904116012,-14.429408037821574,-15.471013397921508,-16.230822409120172,1.4624125001193204,1.480748758449633,0.4024336794583544,123.06845908466067,5.255094085803486,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.230822409120172,-0.12855716957710683,,,
1,0.3,7560.0,36.92599311561837,27.066121765246756,-14.435522918544041,-15.47682732299134,-16.236415069169265,1.4593673500376976,1.47757981432639,0.40298768483269953,123.03237077411607,5.254784940186413,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.236415069169265,-0.12855717376805842,,,
