time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,skin_blood_flow_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,alpha_dot_1_s,C_core_J_K,C_skin_J_K,G_cs_W_m2K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,mass_redistribution_correction_W,energy_balance_residual_J
55225.0,22.2923656668033,11.198649267232758,-19.84932107713387,-20.62782912745977,-21.195452970071496,0.514257362274693,0.5151420894093759,0.5151420894093759,-5.114029680248009e-06,173.0,0.7188689211206658,3.1462963601740384e-06,58868.84791733258,150531.15208266742,5.879110249983104,65.22118179512083,7.0840000000000005,7.252000000000001,14.336000000000002,91.72753005431994,91.80094928698477,91.85397084638083,91.90135822963138,3.0,4.956129848345569,2400.0,1.0,55802.49057864119,0.0001887777816104423,14.686978647623425,7.308922629324822,-0.13782472163438797
55230.0,22.29102463822931,11.197437517425127,-19.849740944728843,-20.62822912292256,-21.195838467978,0.5142319301893651,0.5151165212277531,0.5151165212277531,-5.113242996462457e-06,173.0,0.7188846517579028,3.145958542036653e-06,58865.553921895145,150534.44607810484,5.879080514187877,65.22009187436547,7.0840000000000005,7.252000000000001,14.336000000000002,91.72519053264897,91.79860598353636,91.85162482422236,91.899009786381,3.0,4.956104447675642,2400.0,1.0,55802.49057864119,0.00018875751252219917,14.684518284368433,7.308052705450847,-0.13782472256571054
55235.0,22.28968368755806,11.196225833809594,-19.85016079069635,-20.62862909787501,-21.19622394618851,0.5142065020083767,0.5150909569791351,0.5150909569791351,-5.112456478372238e-06,173.0,0.7189003807061608,3.1456207685743565e-06,58862.26028012993,150537.73971987006,5.8790507829667344,65.21900208088839,7.0840000000000005,7.252000000000001,14.336000000000002,91.72285114263886,91.79626281181882,91.84927893384288,91.89666147495285,3.0,4.956079047912977,2400.0,1.0,55802.49057864119,0.00018873724611446138,14.68205837067297,7.307182911359617,-0.1378247244283557
55240.0,22.28834281478847,11.19501421638448,-19.850580615036794,-20.629029052317495,-21.19660940470338,0.5141810777309076,0.5150653966626932,0.5150653966626932,-5.1116701259285764e-06,173.0,0.718916107965663,3.145283039778004e-06,58858.96699199017,150541.03300800984,5.879021056318712,65.2179124146796,7.0840000000000005,7.252000000000001,14.336000000000002,91.7205118842859,91.79391977182839,91.84693317523896,91.89431329534307,3.0,4.9560536490575915,2400.0,1.0,55802.49057864119,0.00018871698238668026,14.679598906439479,7.306313247024171,-0.13782472535967827
55245.0,22.287002019919452,11.193802665148118,-19.85100041775057,-20.629428986250375,-21.19699484352296,0.5141556573561377,0.5150398402775997,0.5150398402775997,-5.1108839390871935e-06,173.0,0.7189318335366329,3.1449453556412095e-06,58855.67405742907,150544.32594257093,5.878991334242849,65.21682287572904,7.0840000000000005,7.252000000000001,14.336000000000002,91.71817275758629,91.79157686356086,91.84458754840888,91.89196524754789,3.0,4.95602825110951,2400.0,1.0,55802.49057864119,0.00018869672133847257,14.677139891583279,7.3054437124239415,-0.13782472349703312
55250.0,22.28566130294991,11.192591180098828,-19.851420198838078,-20.629828899674028,-21.197380262647584,0.5141302408832469,0.5150142878230265,0.5150142878230265,-5.110097917801241e-06,173.0,0.7189475574192938,3.1446077161559955e-06,58852.38147639987,150547.61852360013,5.87896161673818,65.2157334640266,7.0840000000000005,7.252000000000001,14.336000000000002,91.71583376253628,91.78923408701375,91.84224205334631,91.88961733156367,3.0,4.956002854068756,2400.0,1.0,55802.49057864119,0.00018867646296935972,14.674681326012289,7.304574307534675,-0.13782472256571054
55255.0,22.284320663878766,11.191379761234941,-19.85183995829972,-20.630228792588824,-21.197765662077597,0.5141048283114157,0.5149887392981459,0.5149887392981459,-5.109312062024513e-06,173.0,0.7189632796138689,3.144270121314769e-06,58849.08924885586,150550.91075114414,5.878931903803744,65.21464417956228,7.0840000000000005,7.252000000000001,14.336000000000002,91.7134948991321,91.78689144218328,91.83989669004607,91.88726954738671,3.0,4.955977457935354,2400.0,1.0,55802.49057864119,0.00018865620727888613,14.672223209636234,7.303705032333011,-0.1378247207030654
55260.0,22.282980102704915,11.19016840855478,-19.852259696135903,-20.63062866499511,-21.198151041813357,0.5140794196398246,0.5149631947021306,0.5149631947021306,-5.108526371710805e-06,173.0,0.7189790001205814,3.143932571109935e-06,58845.79737475026,150554.20262524975,5.878902195438578,65.21355502232596,7.0840000000000005,7.252000000000001,14.336000000000002,91.71115616737002,91.78454892906272,91.83755145851048,91.88492189501315,3.0,4.955952062709325,2400.0,1.0,55802.49057864119,0.0001886359542665961,14.66976554236483,7.302835886795578,-0.13782472256571054
55265.0,22.281639619427267,11.18895712205667,-19.85267941234702,-20.63102851689328,-21.198536401855197,0.5140540148676546,0.5149376540341531,0.5149376540341531,-5.107740846812626e-06,173.0,0.7189947189396544,3.143595065533095e-06,58842.50585403637,150557.49414596363,5.8788724916417205,65.21246599230759,7.0840000000000005,7.252000000000001,14.336000000000002,91.70881756724624,91.78220654765168,91.83520635872974,91.88257437443934,3.0,4.955926668390693,2400.0,1.0,55802.49057864119,0.0001886157039319857,14.667308324104065,7.3019668708971475,-0.13782472256571054
55270.0,22.28029921404474,11.18774590173894,-19.85309910693347,-20.631428348283695,-21.198921742203474,0.5140286139940864,0.5149121172933868,0.5149121172933868,-5.106955487285696e-06,173.0,0.719010436071311,3.1432576045778183e-06,58839.21468666748,150560.7853133325,5.878842792412209,65.21137708949713,7.0840000000000005,7.252000000000001,14.336000000000002,91.70647909875701,91.77986429794555,91.83286139070327,91.8802269856615,3.0,4.955901274979481,2400.0,1.0,55802.49057864119,0.0001885954562746691,14.664851554769125,7.301097984617061,-0.13782472256571054
