time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,alpha_skin,d_alpha_skin_dt_1_s,q_cs_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,lambda_pcm,latent_heat_kJ_kg,released_pcm_latent_heat_kJ,energy_balance_residual_J
24500.0,33.062988936483265,21.139320822084347,-16.44493491195377,-17.387468483865973,-18.074754996906346,0.8653442498142916,0.8690089350760756,-2.118315180221956e-05,0.5541293188242905,7.462261630880085e-06,75.00771095755863,111.03820665812856,111.14268709253734,111.21801198739303,111.28524021240399,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.68457325687632
24510.0,33.05956598259883,21.13579680571686,-16.446129848636062,-17.38860492931483,-18.075848747836464,0.8651348674499305,0.8687971723671868,-2.1169392585296394e-05,0.5542039280639873,7.4595866802764534e-06,75.00541012077885,111.03132566963068,111.13578986038658,111.21110307908926,111.27832091107638,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573258738965
24520.0,33.05614286337472,21.132273353678134,-16.44732459961198,-17.389741198670627,-18.076942329745535,0.8649256198928821,0.8685855471722193,-2.1155649013509662e-05,0.5542785105653263,7.456913958742246e-06,75.00310655145378,111.02444579972752,111.12889376182878,111.20419531519227,111.27140276379598,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573259670287
24530.0,33.0527195794441,21.128750465470073,-16.448519165052932,-17.39087729209636,-18.07803574279029,0.8647165069914834,0.8683740593348559,-2.1141921059956677e-05,0.5543530663505808,7.4542434628155835e-06,75.00080025511821,111.01756704745394,111.12199879587232,111.1972886946885,111.26448576953523,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.6845732582733035
24540.0,33.04929613143936,21.125228140595482,-16.44971354513001,-17.392013209754715,-18.07912898712722,0.8645075285943307,0.8681627086990488,-2.1128208697792505e-05,0.5544275954419897,7.451575189040573e-06,74.9984912372981,111.0106894118465,111.115104961526,111.19038321657416,111.25756992726815,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573260135949
24550.0,33.04587251999209,21.121706378558017,-16.450907740014003,-17.393148951808133,-18.080222062912497,0.8642986845502768,0.8679514951090179,-2.111451190023766e-05,0.5545020978617573,7.448909133970046e-06,74.99617950351086,111.00381289194341,111.10821225780492,111.18347887983629,111.25065523597074,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.68457326060161
24560.0,33.04244874573304,21.118185178862213,-16.45210174987541,-17.394284518418733,-18.081314970302035,0.8640899747084325,0.8677404184092511,-2.1100830640569786e-05,0.5545765736320534,7.4462452941626745e-06,74.99386505926506,110.99693748678459,111.10132068372123,111.1765756834699,111.24374169462078,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573260135949
24570.0,33.039024809292194,21.11466454101347,-16.45329557488443,-17.39541990974835,-18.082407709451488,0.863881398918165,0.8675294784445026,-2.1087164892124917e-05,0.5546510227750133,7.443583666183461e-06,74.99154791006069,110.99006319541164,111.09443023828919,111.1696736264747,111.23682930219766,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573261067271
24580.0,33.03560071129873,21.111144464518073,-16.45448921521094,-17.39655512595856,-18.083500280516215,0.8636729570290977,0.8673186750597933,-2.1073514628298133e-05,0.5547254453127383,7.440924246604002e-06,74.98922806138903,110.98319001686778,111.0875409205285,111.16277270784575,111.2299180576828,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.6845732615329325
24590.0,33.03217645238103,21.107624948883153,-16.455682671024555,-17.397690167210627,-18.08459268365131,0.8634646488911097,0.8671080081004098,-2.105987982254355e-05,0.5547998412672953,7.438267032002533e-06,74.98690551873285,110.97631795019801,111.08065272945589,111.15587292658326,111.22300796005922,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.6845732615329325
24600.0,33.028752033166676,21.10410599361671,-16.456875942494555,-17.39882503366553,-18.085684919011598,0.8632564743543342,0.8668974774119038,-2.1046260448379465e-05,0.554874210660717,7.4356120189657766e-06,74.9845802875662,110.96944699444893,111.07376566409195,111.14897428169208,111.21609900831176,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573262929916
24610.0,33.02532745428245,21.100587598227612,-16.458069029789947,-17.39995972548398,-18.08677698675162,0.8630484332691596,0.8666870828400917,-2.1032656479376144e-05,0.5549485535150018,7.4329592040846834e-06,74.98225237335447,110.96257714866883,111.06687972345843,111.1420767721736,111.20919120142715,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573261998594
24620.0,33.02190271635435,21.097069762225587,-16.459261933079425,-17.4010942428264,-18.087868887025653,0.8628405254862276,0.8664768242310537,-2.1019067889168045e-05,0.5550228698521144,7.430308583958776e-06,74.97992178155458,110.95570841190765,111.05999490657966,111.13518039703379,111.20228453839373,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573262464255
24630.0,33.01847782000757,21.093552485121215,-16.460454652531386,-17.40222858585293,-18.08896061998769,0.8626327508564331,0.8662667014311334,-2.100549465144673e-05,0.5550971596939855,7.427660155193705e-06,74.97758851761483,110.94884078321698,111.05311121248286,111.12828515527693,111.19537901820178,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573262464255
24640.0,33.01505276586652,21.090035766425945,-16.461647188313943,-17.40336275472342,-18.090052185791475,0.862425109230924,0.8660567142869372,-2.0991936739960878e-05,0.5551714230625115,7.425013914401266e-06,74.9752525869749,110.94197426165007,111.04622864019277,111.12139104591532,111.1884746398432,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573261998594
24650.0,33.01162755455482,21.086519605652075,-16.462839540594896,-17.404496749597453,-18.09114358459045,0.8622176004611,0.865846862645334,-2.0978394128520135e-05,0.5552456599795556,7.422369858200828e-06,74.97291399506598,110.93510884626188,111.0393471887408,111.1144980679561,111.18157140231179,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573263861239
24660.0,33.008202186695286,21.083004002312762,-16.464031709541764,-17.40563057063431,-18.092234816537818,0.8620102243986125,0.8656371463534538,-2.096486679098998e-05,0.5553198704669463,7.41972798321754e-06,74.97057274731061,110.92824453610896,111.03246685715588,111.10760622041389,111.17466930460296,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573265723884
24670.0,33.00477666290995,21.07948895592201,-16.465223695321757,-17.406764217993032,-18.09332588178648,0.8618029808953637,0.865427565258688,-2.095135470129686e-05,0.5553940545464794,7.4170882860842024e-06,74.96822884912292,110.92138133024953,111.02558764447404,111.10071550229695,111.16776834571405,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573265258223
24680.0,33.00135098382006,21.075974465994683,-16.46641549810181,-17.40789769183231,-18.094416780489105,0.8615958698035063,0.8652181192086885,-2.093785783342305e-05,0.5554682122399163,7.414450763439468e-06,74.9658823059085,110.91451922774345,111.01870954972378,111.09382591262968,111.16086852464399,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573266655207
24690.0,32.99792515004607,21.07246053204649,-16.467607118048544,-17.40903099231062,-18.09550751279806,0.8613888909754432,0.8650088080513666,-2.0924376161406655e-05,0.5555423435689852,7.4118154119279085e-06,74.9635331230643,110.90765822765226,111.01183257194407,111.08693745042439,111.15396984039357,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573266655207
24700.0,32.99449916220767,21.068947153593996,-16.468798555328295,-17.410164119586128,-18.096598078865455,0.8611820442638263,0.8647996316348937,-2.091090965934932e-05,0.5556164485553808,7.409182228202756e-06,74.96118130597903,110.90079832903906,111.00495671017218,111.08005011469972,111.14707229196537,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573267120868
24710.0,32.991073020923736,21.065434330154602,-16.4699898101071,-17.41129707381673,-18.097688478843136,0.8609753295215563,0.8645905898076992,-2.0897458301404023e-05,0.5556905272207642,7.406551208921643e-06,74.95882686003279,110.8939395309687,110.99808196344752,111.07316390447772,111.14017587836355,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.6845732680521905
24720.0,32.98764672681235,21.061922061246566,-16.471180882550716,-17.412429855160045,-18.098778712882673,0.8607687466017825,0.8643816824184711,-2.0884022061784076e-05,0.5557645795867631,7.403922350749822e-06,74.956469790597,110.88708183250755,110.99120833081115,111.06627881877937,111.13328059859415,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573268517852
24730.0,32.98422028049086,21.058410346388982,-16.472371772824594,-17.413562463773406,-18.099868781135378,0.8605622953579013,0.864172909316155,-2.0870600914761176e-05,0.5558386056749718,7.401295650359503e-06,74.95411010303505,110.88022523272369,110.98433581130497,111.05939485663018,111.12638645166494,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573268983513
24740.0,32.98079368257577,21.05489918510179,-16.473562481093904,-17.414694899813878,-18.10095868375229,0.8603559756435567,0.8639642703499529,-2.0857194834660297e-05,0.5559126055069517,7.398671104428101e-06,74.9517478027015,110.87336973068679,110.9774644039738,111.05251201705511,111.11949343658537,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573268983513
24750.0,32.977366933682866,21.051388576905776,-16.474753007523525,-17.415827163438227,-18.10204842088419,0.8601497873126395,0.863755765369324,-2.084380379586416e-05,0.5559865791042309,7.396048709639855e-06,74.9493828949428,110.86651532546817,110.97059410786082,111.045630299086,111.11260155236656,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573269914836
24760.0,32.973940034427095,21.047878521322556,-16.475943352278033,-17.416959254802986,-18.103137992681578,0.8599437302192857,0.8635473942239831,-2.083042777281711e-05,0.556060526488304,7.393428462687221e-06,74.94701538509673,110.85966201614079,110.96372492201755,111.03874970174553,111.10571079802162,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573270846158
24770.0,32.97051298542266,21.044369017874594,-16.47713351552173,-17.41809117406437,-18.1042273992947,0.8597378042178778,0.8633391567639002,-2.081706674001353e-05,0.556134447680633,7.3908103602668365e-06,74.94464527849281,110.85280980177916,110.9568568454905,111.03187022406901,111.09882117256512,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573269914836
24780.0,32.967085787282976,21.040860066085184,-16.478323497418614,-17.419222921378342,-18.105316640873536,0.8595320091630428,0.8631310528393,-2.0803720672006853e-05,0.5562083427026469,7.38819439908273e-06,74.9422725804522,110.84595868145946,110.94998987733206,111.02499186508713,111.09193267501347,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573273174465
24790.0,32.96365844062067,21.037351665478454,-16.479513298132403,-17.42035449690059,-18.10640571756779,0.859326344909652,0.862923082300662,-2.0790389543410193e-05,0.5562822115757412,7.385580575846598e-06,74.93989729628754,110.83910865425946,110.94312401659542,111.01811462383233,111.08504530438485,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573273174465
24800.0,32.9602309460476,21.033843815579377,-16.480702917826527,-17.42148590078651,-18.107494629526922,0.8591208113128214,0.8627152449987184,-2.0777073328884795e-05,0.5563560543212792,7.3829688872737295e-06,74.93751943130316,110.8322597192586,110.9362592623334,111.01123849934393,111.07815905969903,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573274571449
24810.0,32.95680330417486,21.030336515913742,-16.481892356664122,-17.42261713319124,-18.10858337690012,0.8589154082279089,0.862507540784455,-2.0763772003156722e-05,0.5564298709605913,7.380359330088987e-06,74.93513899079515,110.8254118755378,110.9293956136021,111.00436349065956,111.07127393997757,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.68457327503711
24820.0,32.95337551561275,21.026829766008177,-16.483081614808047,-17.42374819426963,-18.109671959836305,0.8587101355105167,0.8622999695091101,-2.075048554100273e-05,0.5565036615149747,7.3777519010218134e-06,74.93275598005114,110.81856512217972,110.92253306945855,110.99748959681796,111.06438994424371,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.68457327503711
24830.0,32.94994758097081,21.023323565390147,-16.484270692420864,-17.424879084176276,-18.11076037848414,0.8585049930164887,0.8620925310241736,-2.073721391725349e-05,0.5565774260056945,7.3751465968074206e-06,74.93037040435051,110.8117194582686,110.9156716289618,110.99061681686132,111.05750707152248,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.684573276434094
24840.0,32.9465195008578,21.019817913587925,-16.485459589664856,-17.426009803065497,-18.11184863299202,0.8582999806019105,0.8618852251813873,-2.072395710680256e-05,0.5566511644539828,7.37254341419002e-06,74.92798226896431,110.8048748828902,110.90881129117388,110.98374514982957,111.0506253208405,2400.0,1.0,28.352528404007945,3467.8794985288423,1582.14169914531,4.68457327503711
